No.	||	Structure type		||	M1	n_m1	D1	n_d1	D1'	n_d1'	||	M2	n_m2	D2	n_d2	D2'	n_d2'	||	M3	n_m3	D3	n_d3	||	O	nO	||	Ea	Log10A
169	||	Fluorites		||	Zr	0.724138	Y	0.275862			||							||					||	O	1.86207	||	1317.09	6.880787305
170	||	Fluorites		||	Zr	0.666667	Y	0.333333			||							||					||	O	1.83333	||	1377.09	6.810800225
171	||	Fluorites		||	Zr	0.612903	Y	0.387097			||							||					||	O	1.80645	||	1293.09	6.455222608
172	||	Fluorites		||	Zr	0.886792	Sm	0.113208			||							||					||	O	1.9434	||	980.095	5.536015235
173	||	Fluorites		||	Zr	0.851852	Sm	0.148148			||							||					||	O	1.92593	||	1094.09	5.706710956
174	||	Fluorites		||	Zr	0.818182	Sm	0.181818			||							||					||	O	1.90909	||	1066.09	6.092415339
175	||	Fluorites		||	Zr	0.785714	Sm	0.214286			||							||					||	O	1.89286	||	1083.09	5.953182503
176	||	Fluorites		||	Zr	0.724138	Sm	0.275862			||							||					||	O	1.86207	||	1241.09	6.392825289
177	||	Fluorites		||	Zr	0.666667	Sm	0.333333			||							||					||	O	1.83333	||	1295.09	6.320669618
178	||	Fluorites		||	Zr	0.612903	Sm	0.387097			||							||					||	O	1.80645	||	1231.09	6.088678175
179	||	Fluorites		||	Zr	0.889	Y	0.222			||							||					||	O	2.111	||	1118.619228	6.591030305
180	||	Fluorites		||	Zr	0.75565	Y	0.2487	Bi	0.24	||							||					||	O	2.24435	||	1066.736196	6.518790116
181	||	Fluorites		||	Zr	0.6223	Y	0.2754	Bi	0.48	||							||					||	O	2.3777	||	1212.376499	8.362471363
182	||	Fluorites		||	Zr	0.750877	Y	0.249123			||							||					||	O	1.87544	||	963.2544386	6.215569249
183	||	Fluorites		||	Zr	0.623506	Y	0.212956	Al	0.163537	||							||					||	O	1.81175	||	992.6111276	6.219697871
184	||	Fluorites		||	Zr	0.519836	Y	0.172086	Al	0.308079	||							||					||	O	1.75992	||	1011.9922	6.219234535
185	||	Fluorites		||	Zr	0.423299	Y	0.141076	Al	0.435625	||							||					||	O	1.71165	||	1026.421655	6.121372147
186	||	Fluorites		||	Ce	0.9	Gd	0.1			||							||					||	O	1.95	||	640	5.037426498
187	||	Fluorites		||	Ce	0.9	Sm	0.1			||							||					||	O	1.95	||	660	4.705863712
188	||	Fluorites		||	Ce	0.887	Y	0.113			||							||					||	O	1.9435	||	870	6.499687083
189	||	Fluorites		||	Ce	0.8	Gd	0.2			||							||					||	O	1.9	||	780	5.698970004
190	||	Fluorites		||	Ce	0.8	Gd	0.2			||							||					||	O	1.9	||	696.6949332	5.245615709
191	||	d-Bi2O3		||	Bi	1.34	Y	0.66			||							||					||	O	3	||	1174.354943	7.929831586
192	||	d-Bi2O3		||	Bi	1.15	Y	0.85			||							||					||	O	3	||	1237.14093	7.649568831
193	||	d-Bi2O3		||	Bi	1	Y	1			||							||					||	O	3	||	1375.535702	7.617755894
194	||	d-Bi2O3		||	Bi	0.8	Y	1.2			||							||					||	O	3	||	1407.329451	6.804323191
195	||	d-Bi2O3		||	Bi	1.6	Sr	0.2			||							||					||	O	2.6	||	849.7818274	6.239490166
196	||	d-Bi2O3		||	Bi	1.5	Y	0.5			||							||					||	O	3	||	745.4604288	5.934543772
197	||	d-Bi2O3		||	Bi	1.3	Gd	0.7			||							||					||	O	3	||	950.3398355	6.720479327
198	||	d-Bi2O3		||	Bi	1.7	Nb	0.3			||							||					||	O	3.3	||	851.4833806	6.539854312
199	||	d-Bi2O3		||	Bi	1.6	Ta	0.4			||							||					||	O	3.4	||	623.8945056	4.559598929
200	||	d-Bi2O3		||	Bi	1.56	Mo	0.22			||							||					||	O	3	||	837.707067	5.766455379
