Atom	Electronegativity	ElectronegativityFromH	ElectronegativityFromO	Mass	Valence	Radius01	Radius02	Radius03	Radius04	Radius05	Radius06	Radius07	Radius08	Radius09	Radius10	Radius11	Radius12	Radius13	Radius14	Xensity	MolDensity	Filling	Porosity	BulkModulus	ShearModulus	PoissonRatio	ThermalConductivity	ThermalExpansion	Superconducting	OuterPrincipal	OuterAzimuthal	OuterNelectron	OuterNnonquenched	OuterRnonquenched	OuterFillingnonquenched	DebyeTemp	HubbardU	MMSusc
Fm	1.3	-0.9	-2.14	257	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	11	3	0.214286	0.000001	0	0	0
Md	1.3	-0.9	-2.14	258	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	12	2	0.142857	0.000001	0	0	0
No	1.3	-0.9	-2.14	259	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	13	1	0.071429	0.000001	0	0	0
Lr	1.3	-0.9	-2.14	266	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	14	0.000001	0.000001	0.000001	0	0	0
Rf	0	-2.2	-3.44	267	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	14	0.000001	0.000001	0.000001	0	0	0
Db	0	-2.2	-3.44	270	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	14	0.000001	0.000001	0.000001	0	0	0
Sg	0	-2.2	-3.44	271	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	14	0.000001	0.000001	0.000001	0	0	0
Bh	0	-2.2	-3.44	274	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	14	0.000001	0.000001	0.000001	0	0	0
Hs	0	-2.2	-3.44	277	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	3	14	0.000001	0.000001	0.000001	0	0	0
Mt	0	-2.2	-3.44	278	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	2	4	4	0.666667	0.000001	0	0	0
Ds	0	-2.2	-3.44	281	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0.000001	2	0.000001	0.000001	0.000001	0	0	0
Rg	0	-2.2	-3.44	282	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0.000001	2	0.000001	0.000001	0.000001	0	0	0
Cn	0	-2.2	-3.44	285	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0.000001	2	0.000001	0.000001	0.000001	0	0	0
Nh	0	-2.2	-3.44	286	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	1	1	1	0.166667	0.000001	0	0	0
Fl	0	-2.2	-3.44	289	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	1	2	2	0.333333	0.000001	0	0	0
Mc	0	-2.2	-3.44	290	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	1	3	3	0.5	0.000001	0	0	0
Lv	0	-2.2	-3.44	293	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	1	4	2	0.333333	0.000001	0	0	0
Ts	0	-2.2	-3.44	294	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	1	5	1	0.166667	0.000001	0	0	0
Og	0	-2.2	-3.44	294	0.000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	1	6	0.000001	0.000001	0.000001	0	0	0
