Reference,DOI,Year,Class,Formula,Parsed_Formula_SiteA1,Parsed_Formula_nSiteA1,Parsed_Formula_SiteA2,Parsed_Formula_nSiteA2,Parsed_Formula_SiteA3,Parsed_Formula_nSiteA3,Parsed_Formula_SiteB1,Parsed_Formula_nSiteB1,Parsed_Formula_SiteB2,Parsed_Formula_nSiteB2,Parsed_Formula_SiteB3,Parsed_Formula_nSiteB3,Parsed_Formula_SiteC1,Parsed_Formula_nSiteC1,Parsed_Formula_SiteC2,Parsed_Formula_nSiteC2,Parsed_Formula_O,Parsed_Formula_nO,Ea,A,EaHT,AHT,T*,Type_of_conductivity,Measurement_temperature_range,Measurement,Source,Plot type
"Ullmann et al., Solid State Ion. 138, 79 (2000).",10.1016/S0167-2738(00)00770-0,2000,Perovskites,La0.65Sr0.3MnO2.775,La,0.65,Sr,0.3,,,Mn,1,,,,,,,,,O,2.775,582.6302385,92.84961025,,,,bulk,1000 - 1300 K,four-probe AC,Fig. 4,log sigma-1000/T
"Ullmann et al., Solid State Ion. 138, 79 (2000).",10.1016/S0167-2738(00)00770-0,2000,Perovskites,Pr0.8Sr0.2Mn0.7Co0.3O2.9,Pr,0.8,Sr,0.2,,,Mn,0.7,Co,0.3,,,,,,,O,2.9,570.5097537,35.17899568,,,,bulk,1000 - 1300 K,four-probe AC,Fig. 4,log sigma-1000/T
"Ullmann et al., Solid State Ion. 138, 79 (2000).",10.1016/S0167-2738(00)00770-0,2000,Perovskites,Pr0.65Sr0.3MnO2.775,Pr,0.65,Sr,0.3,,,Mn,1,,,,,,,,,O,2.775,1230.944983,206045.5022,,,,bulk,1000 - 1300 K,four-probe AC,Fig. 4,log sigma-1000/T
"Bucher et al., Solid State Ion. 179, 1032 (2008).",10.1016/j.ssi.2008.01.089,2008,Perovskites,Ba0.5Sr0.5Co0.8Fe0.2O2.5,Ba,0.5,Sr,0.5,,,Co,0.8,Fe,0.2,,,,,,,O,2.5,883.5460105,660426.7369,,,,bulk,873 - 973 K,four-probe AC,in-text,-
"Li et al., Nat. Mater. 13, 31 (2014).",10.1038/nmat3782,2014,Perovskites,Na0.5Bi0.5TiO3,Na,0.5,Bi,0.5,,,Ti,1,,,,,,,,,O,3,595.5653342,2429.238982,,,,bulk,420 - 773 K,AC,Fig. 1b,log sigma-1000/T
"Li et al., Nat. Mater. 13, 31 (2014).",10.1038/nmat3782,2014,Perovskites,Na0.5Bi0.49TiO2.985,Na,0.5,Bi,0.49,,,Ti,1,,,,,,,,,O,2.985,453.6967124,869.0017407,,,,bulk,420 - 773 K,AC,Fig. 1b,log sigma-1000/T
"Li et al., Nat. Mater. 13, 31 (2014).",10.1038/nmat3782,2014,Perovskites,Na0.5Bi0.51TiO3.015,Na,0.5,Bi,0.51,,,Ti,1,,,,,,,,,O,3.015,1782.750866,30460855.92,,,,bulk,773 - 1073 K,AC,Fig. 1b,log sigma-1000/T
"Li et al., Nat. Mater. 13, 31 (2014).",10.1038/nmat3782,2014,Perovskites,Na0.5Bi0.49Ti0.98Mg0.02O2.965,Na,0.5,Bi,0.49,,,Ti,0.98,Mg,0.02,,,,,,,O,2.965,523.5818586,7106.747954,,,,bulk,420 - 773 K,AC,Fig. 1b,log sigma-1000/T
"Yang et al., Chem. Mater. 28, 5269 (2016).",10.1021/acs.chemmater.6b02555,2016,Perovskites,Na0.5Bi0.47Sr0.02TiO2.975,Na,0.5,Bi,0.47,Sr,0.02,Ti,1,,,,,,,,,O,2.975,374.4349384,977.7783957,,,,bulk,420 - 773 K,AC,Fig. 1,log sigma-1000/T
"Yang et al., Chem. Mater. 28, 5269 (2016).",10.1021/acs.chemmater.6b02555,2016,Perovskites,Na0.5Bi0.49Ti0.99Mg0.01O2.975,Na,0.5,Bi,0.49,,,Ti,0.99,Mg,0.01,,,,,,,O,2.975,509.6237436,6885.584657,,,,bulk,420 - 773 K,AC,Fig. 1,log sigma-1000/T
